(index -> (radius,density,mass within (shells),gravitational acceleration (shells),density slope,mass within (linear),gravitational acceleration (linear)
"radius[unit=""m""]","density[unit=""kg/m^3""]",mass[unit=”kg”],acceleration[unit=”m/s^2”],slope[unit=””],mass[unit=”kg”],acceleration[unit=”m/s^2”]
0,13088.5,0,0,0,0,0
12858,13088.46,1.16546369880726E+017,-0.0470497837558356,-0.00000311090371759785,1.16546102746135E+017,-0.0470496759135685
25716,13088.36,9.32368465789628E+017,-0.0940993158797147,-0.00000777725929371168,9.32364414248328E+017,-0.0940989069777854
38574,13088.18,3.14672580758968E+018,-0.141148176985043,-0.0000139990667289074,3.14670452586725E+018,-0.141147222381272
51432,13087.92,7.45883606405792E+018,-0.188195814380202,-0.0000202208741639616,7.45876790021474E+018,-0.188194094520713
64289,13087.6,1.45671698182491E+019,-0.235238047366761,-0.0000248891654351489,1.45670083447515E+019,-0.235235439810815
77147,13087.2,2.51718611069023E+019,-0.282281856865175,-0.0000311090371752711,2.51715277815269E+019,-0.282278118893417
90005,13086.74,3.99714264878582E+019,-0.329323027052062,-0.0000357753927516679,3.99708197565999E+019,-0.32931802821684
102863,13086.2,5.96647066191348E+019,-0.376361213698775,-0.0000419972001865807,5.96636755531795E+019,-0.37635470979963
115721,13085.58,8.49503624676692E+019,-0.423395856989742,-0.0000482190076217764,8.49487089447576E+019,-0.423387615768282
128579,13084.9,1.16526865870106E+020,-0.470426417071651,-0.0000528853631980317,1.16524363139985E+020,-0.470416313389941
141437,13084.14,1.55092532834701E+020,-0.517452560372391,-0.0000591071706330859,1.55088874586226E+020,-0.517440354948924
154295,13083.32,2.01345403510428E+020,-0.564473733334419,-0.0000637735262093412,2.01340253913929E+020,-0.564459296392177
167153,13082.42,2.55983338709863E+020,-0.611489595175867,-0.0000699953336443954,2.55976259757463E+020,-0.611472685068518
180011,13081.44,3.19703855000008E+020,-0.658499588154876,-0.0000762171410794496,3.19694330502774E+020,-0.658479970382341
192868,13080.4,3.93198043123008E+020,-0.705499511682319,-0.0000808897876643753,3.93185530031264E+020,-0.705477059942617
205726,13079.28,4.77174287842874E+020,-0.752496342874821,-0.0000871053040907592,4.77158102257679E+020,-0.752470818461674
218584,13078.1,5.72323803433002E+020,-0.799485873495955,-0.0000917716596671559,5.72303239014784E+020,-0.79945714681752
231442,13076.84,6.79342909891557E+020,-0.846467764139644,-0.0000979934671022102,6.79317091963395E+020,-0.846435594754186
244300,13075.5,7.98927391705461E+020,-0.893441458367396,-0.000104215274537264,7.98895336422096E+020,-0.893405610905643
257158,13074.1,9.31772600605593E+020,-0.940406409190303,-0.00010888163011352,9.31733311877129E+020,-0.940366756412326
270016,13072.62,1.07857365448961E+021,-0.987362282012601,-0.000115103437548574,1.07852592167476E+021,-0.987318585802523
282874,13071.08,1.24002500751982E+021,-1.03430852430337,-0.000119769793124971,1.23996761752744E+021,-1.03426065514108
295732,13069.46,1.4168208778879E+021,-1.08124479738998,-0.000125991600560025,1.41675236977285E+021,-1.08119251552137
308589,13067.76,1.60963909054362E+021,-1.12816689586712,-0.000132223691374264,1.60955786424992E+021,-1.12810996582848
321447,13066,1.81920250481359E+021,-1.17508157071675,-0.000136879763571334,1.81910697426738E+021,-1.17501986445591
334305,13064.17,2.04618943450337E+021,-1.22198483775928,-0.000142323845076989,2.04607780050858E+021,-1.2219181699099
347163,13062.26,2.29129184687073E+021,-1.2688762484859,-0.000148545652512043,2.29116207036919E+021,-1.26880438059154
360021,13060.28,2.55520092211191E+021,-1.3157552495748,-0.000153989734017698,2.55505090129037E+021,-1.3156779990221
372879,13058.23,2.83860740508225E+021,-1.36262139791394,-0.000159433815523494,2.83843488176555E+021,-1.36253858126147
385737,13056.1,3.14220140913354E+021,-1.40947424878152,-0.000165655622958407,3.14200384561517E+021,-1.40938562916253
398595,13053.91,3.46667214515429E+021,-1.45631325175147,-0.000170321978534804,3.46644707126542E+021,-1.45621870052964
411453,13051.64,3.81270862812947E+021,-1.5031380704533,-0.000176543785969858,3.8124531490065E+021,-1.50303734930375
424311,13049.3,4.18099865955097E+021,-1.54994815156505,-0.000181987867475513,4.18070982688008E+021,-1.54984107770524
437168,13046.89,4.57219822686984E+021,-1.59673941188504,-0.000187446527183624,4.57187291060933E+021,-1.59662580235442
450026,13044.4,4.98705472103546E+021,-1.64351868542129,-0.000193653756416222,4.9866894346109E+021,-1.64339830273093
462884,13041.85,5.42622409622689E+021,-1.69028178243114,-0.000198320111992477,5.42581548099354E+021,-1.69015449780878
475742,13039.22,5.8903916938367E+021,-1.73702836645294,-0.000204541919427673,5.88993584954153E+021,-1.73689394169606
488600,13036.52,6.38024134898999E+021,-1.78375788424561,-0.000209986000933186,6.37973433791255E+021,-1.78361613647193
501458,13033.75,6.89645639682256E+021,-1.83046989217336,-0.000215430082438982,6.89589406824824E+021,-1.8303206379092
514316,13030.9,7.43971931336883E+021,-1.87716394545239,-0.000221651889874037,7.4390970878142E+021,-1.87700694767763
527174,13027.99,8.01071125493953E+021,-1.92383949308351,-0.000226318245450292,8.01002474903705E+021,-1.92367462293336
540032,13025,8.61011332832665E+021,-1.97049619858057,-0.000232540052885346,8.60935748682867E+021,-1.97032321795399
552889,13021.94,9.2385547806721E+021,-2.01712988120146,-0.000238002644473788,9.23772453949295E+021,-2.01694860779552
